month,year,serial,income,expence,handcash
January,2022,1,16200,12215,3985
February,2022,2,13984,8248,5736
March,2022,3,13236,7679,5557
April,2022,4,14854,9157,5697
May,2022,5,12893,7359,5534
June,2022,6,20421,13637,6784
July,2022,7,17146,9711,7432
August,2022,8,18709,13990,4719
September,2022,9,12333,8919,3414
October,2022,10,20973,15390,5583
November,2022,11,11586,5818,5768
December,2022,12,9186,3568,5618
