Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_time,Purchase_Qty,ECP_Source,UXQ_01,UXQ_02,UXQ_03,UXQ_04,UXQ_05,UXQ_06,UXQ_07,UXQ_08,UXQ_09,UXQ_10,UXQ_11,UXQ_12,UXQ_13,UXQ_14,UXQ_15,UXQ_16,UXQ_17,UXQ_18,UXQ_19,UXQ_20,UXQ_21,UXQ_22,UXQ_23,UXQ_24,UXQ_25,UXQ_26,UXQ_27,UXQ_28,UXQ_29,UXQ_30,UXQ_31,UXQ_32,UXQ_33,UXQ_34,UXQ_35,UXQ_36,UXQ_37,UXQ_38,UXQ_39,UXQ_40,UXQ_41,,
Female,30 - 39 years old,Married,Bachelor,200 - 499,More than 7,Amazon,4 - 6 times/year,1 - 3,From online advertisement,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,,
Female,20 - 29 years old,Married,Higher Diploma,200 - 499,2 - 4,Shein,1 - 3 times/year,7 - 9,Search engines like google,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,,
Female,30 - 39 years old,Single,Bachelor,200 - 499,2 - 4,Shein,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,,
Male,30 - 39 years old,Single,Master,500 - 799,2 - 4,OpenSooq,10 or more times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,,
Male,40 - 49 years old,Single,Secondary certificate,500 - 799,2 - 4,Esty,1 - 3 times/year,10 or more,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,,
Male,30 - 39 years old,Married,Higher Diploma,800 - 999,2 - 4,Cdiscount,7 - 9 times/year,1 - 3,From online advertisement,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,,
Female,50 - 59 years old,Single,Diploma,1000 or more,2 - 4,OpenSooq,4 - 6 times/year,1 - 3,Referred from other website,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,,
Male,60 years old or more,Married,Higher Diploma,800 - 999,More than 7,Shein,1 - 3 times/year,4 - 6,Search engines like google,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,,
Male,50 - 59 years old,Single,Diploma,800 - 999,5 - 7,Modanisa,1 - 3 times/year,10 or more,Referred from other website,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Disagree,,
Female,50 - 59 years old,Single,Diploma,1000 or more,More than 7,Shein,7 - 9 times/year,7 - 9,"Social media applications like Facebook, Instagram and others",Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Agree,Strongly Agree,Strongly disagree,Agree,,
Male,60 years old or more,Single,Master,200 - 499,More than 7,Cdiscount,10 or more times/year,1 - 3,Search engines like google,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,,
Female,40 - 49 years old,Single,Higher Diploma,800 - 999,More than 7,Esty,1 - 3 times/year,10 or more,From online advertisement,Neutral,Agree,Disagree,Disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,
Male,20 - 29 years old,Single,Bachelor,200 - 499,5 - 7,OpenSooq,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,,
Female,30 - 39 years old,Married,Bachelor,200 - 499,2 - 4,OpenSooq,1 - 3 times/year,1 - 3,Other,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,30 - 39 years old,Married,Bachelor,500 - 799,5 - 7,Shein,4 - 6 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
Female,30 - 39 years old,Married,Master,200 - 499,2 - 4,Shein,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,,
Female,40 - 49 years old,Married,Higher Diploma,200 - 499,5 - 7,ebay,1 - 3 times/year,4 - 6,Search engines like google,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,,
Female,30 - 39 years old,Married,Bachelor,500 - 799,5 - 7,Modanisa,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,,
Male,50 - 59 years old,Married,Higher Diploma,500 - 799,More than 7,Amazon,7 - 9 times/year,4 - 6,From online advertisement,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,
Female,60 years old or more,Married,Bachelor,200 - 499,5 - 7,OpenSooq,1 - 3 times/year,1 - 3,Search engines like google,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,
Female,30 - 39 years old,Single,Diploma,200 - 499,2 - 4,Shein,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,,
Male,20 - 29 years old,Single,Bachelor,200 - 499,5 - 7,Amazon,1 - 3 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,,
Female,20 - 29 years old,Single,Secondary certificate,200 - 499,2 - 4,Modanisa,4 - 6 times/year,4 - 6,Search engines like google,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,,
Female,20 - 29 years old,Single,Higher Diploma,800 - 999,5 - 7,Amazon,10 or more times/year,4 - 6,From online advertisement,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,
Male,30 - 39 years old,Married,Master,1000 or more,2 - 4,ebay,4 - 6 times/year,10 or more,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
Male,60 years old or more,Single,Diploma,200 - 499,More than 7,Modanisa,7 - 9 times/year,7 - 9,From online advertisement,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,,
Female,60 years old or more,Married,Master,800 - 999,2 - 4,Esty,1 - 3 times/year,10 or more,Search engines like google,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Neutral,Strongly disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,,
Female,50 - 59 years old,Married,Higher Diploma,800 - 999,5 - 7,Amazon,10 or more times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,,
Male,20 - 29 years old,Married,Secondary certificate,200 - 499,2 - 4,Amazon,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
Male,20 - 29 years old,Single,Secondary certificate,200 - 499,2 - 4,Amazon,4 - 6 times/year,4 - 6,Referred from other website,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,,
Male,20 - 29 years old,Married,Diploma,1000 or more,More than 7,Amazon,10 or more times/year,4 - 6,From online advertisement,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,20 - 29 years old,Married,Bachelor,1000 or more,2 - 4,Amazon,7 - 9 times/year,4 - 6,Search engines like google,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,,
Male,20 - 29 years old,Married,PHD,200 - 499,More than 7,Amazon,7 - 9 times/year,10 or more,Search engines like google,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,,
Female,60 years old or more,Married,Diploma,500 - 799,5 - 7,Esty,1 - 3 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,
Male,20 - 29 years old,Single,PHD,1000 or more,2 - 4,Amazon,10 or more times/year,7 - 9,From online advertisement,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,,
Male,20 - 29 years old,Married,Secondary certificate,200 - 499,2 - 4,Amazon,4 - 6 times/year,1 - 3,Search engines like google,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,,
Male,50 - 59 years old,Married,Bachelor,1000 or more,5 - 7,OpenSooq,4 - 6 times/year,4 - 6,From online advertisement,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,
Male,20 - 29 years old,Single,Master,200 - 499,More than 7,ebay,7 - 9 times/year,10 or more,From online advertisement,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,,
Female,20 - 29 years old,Married,Bachelor,500 - 799,2 - 4,Cdiscount,10 or more times/year,10 or more,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,,
Female,40 - 49 years old,Married,Diploma,200 - 499,2 - 4,Amazon,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,,
Female,30 - 39 years old,Married,Higher Diploma,200 - 499,5 - 7,Shein,4 - 6 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,
Male,50 - 59 years old,Married,Secondary certificate,200 - 499,2 - 4,OpenSooq,1 - 3 times/year,1 - 3,Other,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,
Female,30 - 39 years old,Married,Diploma,200 - 499,2 - 4,Cdiscount,1 - 3 times/year,1 - 3,Other,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Female,30 - 39 years old,Single,Bachelor,200 - 499,5 - 7,Modanisa,1 - 3 times/year,1 - 3,Other,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,,
Female,30 - 39 years old,Married,Higher Diploma,800 - 999,2 - 4,Modanisa,7 - 9 times/year,10 or more,"Social media applications like Facebook, Instagram and others",Neutral,Strongly Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,,
Female,50 - 59 years old,Married,Master,800 - 999,2 - 4,Shein,7 - 9 times/year,4 - 6,Search engines like google,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,,
