Participant_ID,Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_times_yr,Purchase_Qty,ECP_Source,Usability_Navigation,Content_and_Clarity,User_Engagement,Functionality_Features,User_Cantered_Design,Result
139,Female,50,Married,Higher Diploma,1000,2,OpenSooq,6,6,Referred from other website,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral
140,Female,40,Married,Diploma,800,2,Amazon,6,6,Referred from other website,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree
141,Male,20,Married,Secondary certificate,200,2,Amazon,3,6,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
142,Male,60,Married,Higher Diploma,200,7,Cdiscount,6,9,Referred from other website,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree
143,Female,50,Married,Higher Diploma,1000,2,OpenSooq,9,6,From online advertisement,Neutral,Agree,Strongly Agree,Agree,Agree,Agree
144,Female,40,Single,Diploma,800,5,Shein,6,3,Search engines like google,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree
145,Male,30,Married,Diploma,1000,2,Amazon,3,3,Referred from other website,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree
146,Male,40,Married,Bachelor,1000,2,ebay,6,6,From online advertisement,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
147,Male,30,Married,Diploma,800,2,Modanisa,6,3,From online advertisement,Disagree,Agree,Neutral,Disagree,Disagree,Disagree
148,Female,50,Married,Master,1000,5,Esty,6,3,Search engines like google,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
149,Male,50,Married,Higher Diploma,1000,2,ebay,6,6,"Social media applications like Facebook, Instagram and others",Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral
150,Female,20,Single,PHD,200,7,ebay,9,9,Referred from other website,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral
151,Male,30,Married,Secondary certificate,200,7,Cdiscount,6,9,Search engines like google,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree
152,Female,30,Married,Diploma,1000,5,Modanisa,6,3,Referred from other website,Neutral,Neutral,Neutral,Neutral,Agree,Neutral
153,Female,30,Married,Bachelor,500,2,Cdiscount,6,6,Search engines like google,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral
154,Female,40,Single,Diploma,1000,2,Cdiscount,9,9,"Social media applications like Facebook, Instagram and others",Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral
155,Female,40,Married,Bachelor,500,2,Modanisa,6,3,From online advertisement,Agree,Agree,Neutral,Agree,Strongly Agree,Agree
156,Male,60,Single,Master,200,7,Cdiscount,10,3,Search engines like google,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree
157,Male,30,Married,Bachelor,1000,2,Cdiscount,9,3,From online advertisement,Agree,Agree,Neutral,Strongly Agree,Agree,Agree
158,Female,40,Married,Higher Diploma,800,2,Esty,10,3,"Social media applications like Facebook, Instagram and others",Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree
159,Male,50,Married,Bachelor,500,7,Modanisa,3,9,From online advertisement,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree
